Serviceeinrichtung";"Stationspreis SPFV - Anteil
Serviceeinrichtung";Bemerkung
5169;BEG;Regensburg Hbf;2;Bayern;13,72 €;36,53 €;
999;BEG;Regensburg-Burgweinting;6;Bayern;2,89 €;7,59 €;
5170;BEG;Regensburg-Prüfening;5;Bayern;2,72 €;7,01 €;
5173;BEG;Regenstauf;5;Bayern;2,72 €;7,01 €;
5174;ZVNL;Regis-Breitingen;6;Sachsen;2,56 €;6,83 €;
5176;BEG;Rehau;6;Bayern;2,89 €;7,59 €;
5177;VBB;Rehfeld (b Falkenberg/Elster);6;Brandenburg;3,98 €;10,22 €;
5178;VBB;Rehfelde;6;Brandenburg;3,98 €;10,22 €;
5180;VMV;Rehna;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
5181;ZÖPNV Süd;Rehweiler;7;Rheinland-Pfalz;1,49 €;4,01 €;
5182;BEG;Reichelsdorfer Keller;6;Bayern;2,89 €;7,59 €;
5183;RMV;Reichelsheim (Wetterau);6;Hessen;2,48 €;6,52 €;
5184;VM BW;Reichenau (Baden);6;Baden-Württemberg;2,35 €;6,18 €;
5185;VM BW;Reichenbach (Fils);5;Baden-Württemberg;2,91 €;7,35 €;
5186;ZVON;Reichenbach (Oberlausitz);6;Sachsen;3,28 €;8,70 €;
5187;ZVV;Reichenbach (Vogtl) ob Bf;4;Sachsen;9,89 €;26,40 €;
8147;BEG;Reichenberg;6;Bayern;2,89 €;7,59 €;
5189;BEG;Reichenschwand;6;Bayern;2,89 €;7,59 €;
5191;BEG;Reichersbeuern;6;Bayern;2,89 €;7,59 €;
5192;BEG;Reichertshausen (Ilm);6;Bayern;2,89 €;7,59 €;
5197;VM BW;Reihen;6;Baden-Württemberg;2,35 €;6,18 €;
5198;ZVRP Nord;Reil DB;7;Rheinland-Pfalz;2,00 €;4,62 €;
5199;VM BW;Reilsheim;6;Baden-Württemberg;2,35 €;6,18 €;
5200;NAH.SH;Reinbek;5;Schleswig-Holstein;3,75 €;9,91 €;
5201;NAH.SH;Reinfeld (Holst);5;Schleswig-Holstein;3,75 €;9,91 €;
5202;TLBV;Reinhardsbrunn-Friedrichroda;6;Thüringen;3,43 €;9,13 €;
5203;RMV;Reinheim (Odenw);6;Hessen;2,48 €;6,52 €;
5205;NAH.SH;Reinsbüttel;7;Schleswig-Holstein;2,21 €;5,91 €;
5206;TLBV;Reinsdorf (b Artern);7;Thüringen;2,70 €;7,22 €;
8285;NASA;Reinsdorf (b Nebra);7;Sachsen-Anhalt;2,77 €;7,39 €;
5208;VRN;Reisen (Hess);6;Hessen;2,31 €;6,13 €;
5209;RMV;Reiskirchen (Kr Gießen);6;Hessen;2,48 €;6,52 €;
5213;NWL;Reken;6;Nordrhein-Westfalen;3,85 €;9,87 €;
8288;NWL;Reken-Klein Reken;7;Nordrhein-Westfalen;2,48 €;6,41 €;Name alt: Klein-Reken
3947;NWL;Reken-Maria Veen;6;Nordrhein-Westfalen;3,85 €;9,87 €;Name alt: Maria Veen
5214;ZVRP Nord;Remagen;3;Rheinland-Pfalz;4,59 €;11,17 €;
5217;VRR;Remscheid Hbf;5;Nordrhein-Westfalen;2,32 €;5,93 €;
5218;VRR;Remscheid-Güldenwerth;6;Nordrhein-Westfalen;2,76 €;7,00 €;
5219;VRR;Remscheid-Lennep;5;Nordrhein-Westfalen;2,32 €;5,93 €;
5220;VRR;Remscheid-Lüttringhausen;6;Nordrhein-Westfalen;2,76 €;7,00 €;
5222;VM BW;Renchen;6;Baden-Württemberg;2,35 €;6,18 €;
5223;NAH.SH;Rendsburg;3;Schleswig-Holstein;9,48 €;25,32 €;
5226;VRStutt;Renningen;4;Baden-Württemberg;2,90 €;7,74 €;
8111;VRStutt;Renningen Süd;6;Baden-Württemberg;1,98 €;5,26 €;
5228;ZPS;Rentrisch;6;Saarland;1,54 €;4,04 €;
5229;BEG;Rentweinsdorf;7;Bayern;2,13 €;5,65 €;
5230;TLBV;Rentwertshausen;6;Thüringen;3,43 €;9,13 €;
5231;ZVV;Rentzschmühle;7;Sachsen;3,28 €;8,76 €;
5234;RH;Rethen (Leine);6;Niedersachsen;4,47 €;11,92 €;
5235;BEG;Retzbach-Zellingen;5;Bayern;2,72 €;7,01 €;
5237;TLBV;Reurieth;6;Thüringen;3,43 €;9,13 €;
5238;NASA;Reußen;6;Sachsen-Anhalt;3,34 €;8,90 €;
5239;VMV;Reuterstadt Stavenhagen;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
5240;BEG;Reuth (b Erbendorf);6;Bayern;2,89 €;7,59 €;
5241;ZVV;Reuth (b Plauen/Vogtl);7;Sachsen;3,28 €;8,76 €;
5242;VM BW;Reutlingen Hbf;3;Baden-Württemberg;5,29 €;13,61 €;
5243;VM BW;Reutlingen West;6;Baden-Württemberg;2,35 €;6,18 €;
5244;VM BW;Reutlingen-Betzingen;6;Baden-Württemberg;2,35 €;6,18 €;
5245;VM BW;Reutlingen-Sondelfingen;6;Baden-Württemberg;2,35 €;6,18 €;
5246;VRR;Rhade;6;Nordrhein-Westfalen;2,76 €;7,00 €;
5247;NWL;Rheda-Wiedenbrück;4;Nordrhein-Westfalen;5,03 €;11,82 €;
5248;go.R;Rheinbach;6;Nordrhein-Westfalen;3,77 €;8,76 €;
8250;go.R;Rheinbach Römerkanal;6;Nordrhein-Westfalen;3,77 €;8,76 €;
5249;VRR;Rheinberg (Rheinl);6;Nordrhein-Westfalen;2,76 €;7,00 €;
5250;ZVRP Nord;Rheinbrohl;5;Rheinland-Pfalz;2,59 €;5,24 €;
5251;NWL;Rheine;2;Nordrhein-Westfalen;13,97 €;35,99 €;
4080;NWL;Rheine-Mesum;6;Nordrhein-Westfalen;3,85 €;9,87 €;
5252;VM BW;Rheinfelden (Baden);4;Baden-Württemberg;3,92 €;10,18 €;
5253;VRR;Rheinhausen;4;Nordrhein-Westfalen;2,49 €;6,29 €;
5254;VRR;Rheinhausen Ost;5;Nordrhein-Westfalen;2,32 €;5,93 €;
5256;VM BW;Rheinsheim;6;Baden-Württemberg;2,35 €;6,18 €;
5257;VM BW;Rheinweiler;6;Baden-Württemberg;2,35 €;6,18 €;
5258;ZÖPNV Süd;Rheinzabern;6;Rheinland-Pfalz;1,99 €;5,22 €;
8204;ZÖPNV Süd;Rheinzabern Alte Römerstraße;6;Rheinland-Pfalz;1,99 €;5,22 €;
8203;ZÖPNV Süd;Rheinzabern Rappengasse;6;Rheinland-Pfalz;1,99 €;5,22 €;
5259;ZVRP Nord;Rhens;6;Rheinland-Pfalz;2,27 €;5,85 €;
5260;VRR;Rheydt Hbf;4;Nordrhein-Westfalen;2,49 €;6,29 €;
5261;VRR;Rheydt-Odenkirchen;6;Nordrhein-Westfalen;2,76 €;7,00 €;
5263;go.R;Rhöndorf;5;Nordrhein-Westfalen;2,69 €;7,09 €;
5264;VMV;Ribnitz-Damgarten Ost;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
5265;VMV;Ribnitz-Damgarten West;4;Mecklenburg-Vorpommern;5,10 €;12,82 €;
5266;VM BW;Richen (b Eppingen);6;Baden-Württemberg;2,35 €;6,18 €;
4815;NAH.SH;Rickling;6;Schleswig-Holstein;3,53 €;9,43 €;
5268;RMV;Ried;6;Hessen;2,48 €;6,52 €;
5270;BEG;Riederau;7;Bayern;2,13 €;5,65 €;
5271;VM BW;Riedlingen;6;Baden-Württemberg;2,35 €;6,18 €;
5272;VRN;Riedrode;6;Hessen;2,31 €;6,13 €;
2161;RMV;Riedstadt-Goddelau;4;Hessen;2,78 €;6,42 €;
3608;RMV;Riedstadt-Wolfskehlen;6;Hessen;2,48 €;6,52 €;
5273;VM BW;Riegel-Malterdingen;5;Baden-Württemberg;2,91 €;7,35 €;
5275;BEG;Rieneck;6;Bayern;2,89 €;7,59 €;
5276;VVO;Riesa;3;Sachsen;11,80 €;31,49 €;
5277;ZÖPNV Süd;Rieschweiler;7;Rheinland-Pfalz;1,49 €;4,01 €;
5278;NAH.SH;Rieseby;6;Schleswig-Holstein;3,53 €;9,43 €;
5279;LNVG;Rieste;7;Niedersachsen;2,85 €;7,60 €;
5280;NASA;Riestedt;6;Sachsen-Anhalt;3,34 €;8,90 €;
8055;VM BW;Rietheim;6;Baden-Württemberg;2,35 €;6,18 €;
5282;ZVON;Rietschen;6;Sachsen;3,28 €;8,70 €;
5283;VRN;Rimbach;6;Hessen;2,31 €;6,13 €;
8458;VRN;Rimbach Schulzentrum;6;Hessen;2,31 €;6,13 €;Inbetriebnahme 16.08.2025
5285;TLBV;Ringleben-Gebesee;6;Thüringen;3,43 €;9,13 €;
5286;VM BW;Ringsheim/Europa-Park;5;Baden-Württemberg;2,91 €;7,35 €;Name alt: Ringsheim
5287;NWL;Rinkerode;6;Nordrhein-Westfalen;3,85 €;9,87 €;
5288;ZÖPNV Süd;Rinnthal;7;Rheinland-Pfalz;1,49 €;4,01 €;
5289;LNVG;Rinteln;6;Niedersachsen;4,23 €;10,34 €;
5291;BWVI;Rissen;5;Hamburg;3,94 €;7,00 €;
5292;TLBV;Ritschenhausen;6;Thüringen;3,43 €;9,13 €;
5293;LNVG;Ritterhude;6;Niedersachsen;4,23 €;10,34 €;
5296;NASA;Röblingen am See;5;Sachsen-Anhalt;3,29 €;8,62 €;
5301;ZÖPNV Süd;Rockenhausen;5;Rheinland-Pfalz;2,95 €;7,78 €;
5303;ZÖPNV Süd;Rodalben;6;Rheinland-Pfalz;1,99 €;5,22 €;
5304;RMV;Rodenbach (Dillkr);6;Hessen;2,48 €;6,52 €;
5305;RMV;Rodenbach bei Hanau;5;Hessen;2,40 €;6,30 €;
5306;LNVG;Rodenkirchen (Oldb);5;Niedersachsen;4,79 €;12,40 €;
5307;BEG;Rödental;6;Bayern;2,89 €;7,59 €;
8056;BEG;Rödental Mitte;6;Bayern;2,89 €;7,59 €;
4615;RMV;Rödermark-Ober Roden;4;Hessen;2,78 €;6,42 €;
6372;RMV;Rödermark-Urberach;6;Hessen;2,48 €;6,52 €;
5309;ZVV;Rodewisch;6;Sachsen;3,51 €;9,38 €;
1372;RMV;Rodgau-Dudenhofen;5;Hessen;2,40 €;6,30 €;
2479;RMV;Rodgau-Hainhausen;5;Hessen;2,40 €;6,30 €;
3066;RMV;Rodgau-Jügesheim;5;Hessen;2,40 €;6,30 €;
4478;RMV;Rodgau-Nieder Roden;5;Hessen;2,40 €;6,30 €;
5330;RMV;Rodgau-Rollwald;6;Hessen;2,48 €;6,52 €;
6628;RMV;Rodgau-Weiskirchen;5;Hessen;2,40 €;6,30 €;
5311;RMV;Rodheim v d Höhe;7;Hessen;1,88 €;4,96 €;
5312;BEG;Roding;6;Bayern;2,89 €;7,59 €;
5313;NASA;Rodleben;6;Sachsen-Anhalt;3,34 €;8,90 €;
5314;VMS;Rödlitz-Hohndorf;7;Sachsen;2,75 €;7,32 €;
5315;VMV;Roggentin;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
5317;TLBV;Rohr (Thür);7;Thüringen;2,70 €;7,22 €;
6874;BEG;Rohrbach (Ilm);5;Bayern;2,72 €;7,01 €;
5320;ZÖPNV Süd;Rohrbach (Pfalz);6;Rheinland-Pfalz;1,99 €;5,22 €;
5319;ZPS;Rohrbach (Saar);5;Saarland;1,58 €;4,00 €;
5321;BEG;Rohrenfeld;6;Bayern;2,89 €;7,59 €;
5323;BEG;Röhrmoos;5;Bayern;2,72 €;7,01 €;
5325;VM BW;Roigheim;6;Baden-Württemberg;2,35 €;6,18 €;
5326;go.R;Roisdorf;5;Nordrhein-Westfalen;2,69 €;7,09 €;
5327;NASA;Roitzsch (Kr Bitterfeld);6;Sachsen-Anhalt;3,34 €;8,90 €;
5328;ZVRP Nord;Rolandseck;5;Rheinland-Pfalz;2,59 €;5,24 €;
5329;BEG;Rollhofen;7;Bayern;2,13 €;5,65 €;
5333;VRStutt;Rommelshausen;5;Baden-Württemberg;2,09 €;5,58 €;
5334;VRR;Rommerskirchen;5;Nordrhein-Westfalen;2,32 €;5,93 €;
5336;TLBV;Ronneburg (Thür);6;Thüringen;3,43 €;9,13 €;
5337;RH;Ronnenberg (Han);5;Niedersachsen;4,35 €;11,59 €;
5338;NVV;Ronshausen;6;Hessen;2,73 €;7,26 €;
5339;RMV;Rönshausen;7;Hessen;1,88 €;4,96 €;
5340;VBB;Röntgental;5;Brandenburg;3,44 €;9,13 €;
5341;go.R;Rosbach (Sieg);6;Nordrhein-Westfalen;3,77 €;8,76 €;
5342;RMV;Rosbach v d Höhe;6;Hessen;2,48 €;6,52 €;
5344;BEG;Rosenau (b Grafenau);7;Bayern;2,13 €;5,65 €;
7766;VM BW;Rosenberg (Baden);6;Baden-Württemberg;2,35 €;6,18 €;
2879;NWL;Rosendahl-Holtwick;7;Nordrhein-Westfalen;2,48 €;6,41 €;
5346;NASA;Rosengarten;6;Sachsen-Anhalt;3,34 €;8,90 €;
5348;BEG;Rosenheim;2;Bayern;13,72 €;36,53 €;
8256;BEG;Rosenheim Aicherpark;6;Bayern;2,89 €;7,59 €;
5352;BEG;Röslau;7;Bayern;2,13 €;5,65 €;
5353;go.R;Rösrath;5;Nordrhein-Westfalen;2,69 €;7,09 €;
5354;go.R;Rösrath-Stümpen;6;Nordrhein-Westfalen;3,77 €;8,76 €;
8236;NASA;Roßbach;7;Sachsen-Anhalt;2,77 €;7,39 €;
5355;ZÖPNV Süd;Roßbach (Pfalz);6;Rheinland-Pfalz;1,99 €;5,22 €;
5357;NASA;Roßla;6;Sachsen-Anhalt;3,34 €;8,90 €;
5358;NASA;Roßlau (Elbe);5;Sachsen-Anhalt;3,29 €;8,62 €;
5362;BEG;Roßtal;5;Bayern;2,72 €;7,01 €;
5363;BEG;Roßtal-Wegbrücke;6;Bayern;2,89 €;7,59 €;
1741;VMV;Rostock Evershagen;4;Mecklenburg-Vorpommern;5,10 €;12,82 €;
5365;VMV;Rostock Hbf;2;Mecklenburg-Vorpommern;24,54 €;65,11 €;
5367;VMV;Rostock Holbeinplatz;4;Mecklenburg-Vorpommern;5,10 €;12,82 €;
5368;VMV;Rostock Kassebohm;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
3701;VMV;Rostock Lichtenhagen;4;Mecklenburg-Vorpommern;5,10 €;12,82 €;
3869;VMV;Rostock Lütten Klein;5;Mecklenburg-Vorpommern;3,75 €;9,97 €;
5369;VMV;Rostock Parkstraße;4;Mecklenburg-Vorpommern;5,10 €;12,82 €;
7984;VMV;Rostock Thierfelder Straße;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
4813;VMV;Rostock Torfbrücke;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
5371;VMV;Rostock-Bramow;5;Mecklenburg-Vorpommern;3,75 €;9,97 €;
5373;VMV;Rostock-Marienehe;4;Mecklenburg-Vorpommern;5,10 €;12,82 €;
5378;VM BW;Rötenbach (Baden);7;Baden-Württemberg;1,90 €;5,07 €;
5380;LNVG;Rotenburg (Wümme);4;Niedersachsen;4,96 €;13,09 €;
5379;NVV;Rotenburg an der Fulda;6;Hessen;2,73 €;7,26 €;
3747;NVV;Rotenburg an der Fulda-Lispenhausen;6;Hessen;2,73 €;7,26 €;
5381;ZVRP Nord;Rotenhain;6;Rheinland-Pfalz;2,27 €;5,85 €;
5384;RVB;Rötgesbüttel;7;Niedersachsen;2,54 €;6,37 €;
5385;BEG;Roth;3;Bayern;4,75 €;12,53 €;
5387;BEG;Röthenbach (Allgäu);6;Bayern;2,89 €;7,59 €;
5388;BEG;Röthenbach (Oberpf);7;Bayern;2,13 €;5,65 €;
5389;BEG;Röthenbach (Pegnitz);5;Bayern;2,72 €;7,01 €;
5390;BEG;Röthenbach-Seespitze;6;Bayern;2,89 €;7,59 €;
5391;BEG;Röthenbach-Steinberg;6;Bayern;2,89 €;7,59 €;
5392;BEG;Rothenbürg;7;Bayern;2,13 €;5,65 €;
5393;BEG;Rothenburg ob der Tauber;6;Bayern;2,89 €;7,59 €;
5394;BWVI;Rothenburgsort;5;Hamburg;3,94 €;7,00 €;
5395;TLBV;Rothenstein (Saale);6;Thüringen;3,43 €;9,13 €;
5377;VM BW;Rot-Malsch;5;Baden-Württemberg;2,91 €;7,35 €;
5397;VM BW;Rottenacker;7;Baden-Württemberg;1,90 €;5,07 €;
5398;TLBV;Rottenbach;5;Thüringen;3,74 €;9,97 €;
5399;VM BW;Rottenburg (Neckar);5;Baden-Württemberg;2,91 €;7,35 €;
5400;BEG;Rottendorf;4;Bayern;3,19 €;7,89 €;
5401;BEG;Rottershausen;7;Bayern;2,13 €;5,65 €;
5405;VM BW;Rottweil;3;Baden-Württemberg;5,29 €;13,61 €;
7150;VM BW;Rottweil Göllsdorf;7;Baden-Württemberg;1,90 €;5,07 €;
7152;VM BW;Rottweil Neufra;7;Baden-Württemberg;1,90 €;5,07 €;
7151;VM BW;Rottweil Saline;7;Baden-Württemberg;1,90 €;5,07 €;
5406;VMV;Rövershagen;5;Mecklenburg-Vorpommern;3,75 €;9,97 €;
8375;VMV;Rövershagen Karls Erlebnisdorf (Purkshof);7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
5408;BWVI;Rübenkamp;4;Hamburg;2,79 €;6,93 €;
5409;BEG;Rückersbacher Schlucht;6;Bayern;2,89 €;7,59 €;
5411;VBB;Rückersdorf;7;Brandenburg;3,21 €;8,56 €;
5410;BEG;Rückersdorf (Mittelfr);5;Bayern;2,72 €;7,01 €;
5416;RMV;Rüdesheim (Rhein);5;Hessen;2,40 €;6,30 €;
5417;VBB;Rüdnitz;6;Brandenburg;3,98 €;10,22 €;
5418;TLBV;Rudolstadt (Thür);4;Thüringen;5,03 €;13,40 €;
5419;TLBV;Rudolstadt-Schwarza;6;Thüringen;3,43 €;9,13 €;
5422;VBB;Ruhland;5;Brandenburg;3,44 €;9,13 €;
5429;ZÖPNV Süd;Rülzheim;6;Rheinland-Pfalz;1,99 €;5,22 €;
8202;ZÖPNV Süd;Rülzheim Freizeitzentrum;6;Rheinland-Pfalz;1,99 €;5,22 €;
5430;VRR;Rumeln;5;Nordrhein-Westfalen;2,32 €;5,93 €;
5431;VRR;Rummenohl;6;Nordrhein-Westfalen;2,76 €;7,00 €;
5432;go.R;Ründeroth;6;Nordrhein-Westfalen;3,77 €;8,76 €;
5434;RMV;Runkel;6;Hessen;2,48 €;6,52 €;
5437;ZVV;Ruppertsgrün;6;Sachsen;3,51 €;9,38 €;
5438;BEG;Rupprechtstegen;6;Bayern;2,89 €;7,59 €;
5439;BEG;Rüsselbach;7;Bayern;2,13 €;5,65 €;
5440;RMV;Rüsselsheim;3;Hessen;4,14 €;10,93 €;
5441;RMV;Rüsselsheim Opelwerk;4;Hessen;2,78 €;6,42 €;
5443;VRStutt;Rutesheim;5;Baden-Württemberg;2,09 €;5,58 €;
5444;VMV;Ruthenbeck;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
5447;BEG;Saal (Donau);6;Bayern;2,89 €;7,59 €;
5450;TLBV;Saalfeld (Saale);3;Thüringen;9,93 €;26,53 €;
5451;ZPS;Saarbrücken Hbf;2;Saarland;30,37 €;81,05 €;
5453;ZPS;Saarbrücken Ost;5;Saarland;1,58 €;4,00 €;
5454;ZPS;Saarbrücken-Burbach;6;Saarland;1,54 €;4,04 €;
5456;ZVRP Nord;Saarburg (Bz Trier);4;Rheinland-Pfalz;4,57 €;11,36 €;
5457;ZPS;Saarhölzbach;6;Saarland;1,54 €;4,04 €;
5458;ZPS;Saarlouis Hbf;3;Saarland;4,69 €;10,93 €;
5459;VBB;Saarmund;6;Brandenburg;3,98 €;10,22 €;
5460;RMV;Saasen;7;Hessen;1,88 €;4,96 €;
5464;BEG;Sachsen (b Ansbach);6;Bayern;2,89 €;7,59 €;
5465;NASA;Sachsendorf (b Calbe);6;Sachsen-Anhalt;3,34 €;8,90 €;
5466;VBB;Sachsenhausen (Nordb);6;Brandenburg;3,98 €;10,22 €;
5468;VM BW;Sachsenheim;5;Baden-Württemberg;2,91 €;7,35 €;
5469;VMV;Sagard;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
5470;LNVG;Sagehorn;6;Niedersachsen;4,23 €;10,34 €;
5471;VM BW;Salach;6;Baden-Württemberg;2,35 €;6,18 €;
5472;VM BW;Salem;6;Baden-Württemberg;2,35 €;6,18 €;
5473;BEG;Sallach;7;Bayern;2,13 €;5,65 €;
1293;ZVRP Nord;Salmtal;6;Rheinland-Pfalz;2,27 €;5,85 €;
5476;LNVG;Salzbergen;4;Niedersachsen;4,96 €;13,09 €;
5478;RVB;Salzgitter Bad;6;Niedersachsen;4,87 €;10,77 €;
5479;RVB;Salzgitter-Immendorf;6;Niedersachsen;4,87 €;10,77 €;
5480;RVB;Salzgitter-Lebenstedt;6;Niedersachsen;4,87 €;10,77 €;
5481;RVB;Salzgitter-Ringelheim;5;Niedersachsen;4,19 €;10,40 €;
5482;RVB;Salzgitter-Thiede;6;Niedersachsen;4,87 €;10,77 €;
5483;RVB;Salzgitter-Watenstedt;7;Niedersachsen;2,54 €;6,37 €;
5484;NWL;Salzkotten;5;Nordrhein-Westfalen;3,91 €;9,89 €;
5487;NASA;Salzwedel;4;Sachsen-Anhalt;5,24 €;13,97 €;
5490;VMV;Samtens;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
5491;BEG;Sand (Niederbay);7;Bayern;2,13 €;5,65 €;
5495;LNVG;Sande;5;Niedersachsen;4,79 €;12,40 €;
5499;NASA;Sandersleben (Anh);4;Sachsen-Anhalt;5,24 €;13,97 €;
5500;VMV;Sandförde;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
5501;VMV;Sandhagen (b Bad Doberan);7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
5502;LNVG;Sandkrug;6;Niedersachsen;4,23 €;10,34 €;
5504;NAH.SH;Sandwehle;7;Schleswig-Holstein;2,21 €;5,91 €;
5505;NASA;Sangerhausen;4;Sachsen-Anhalt;5,24 €;13,97 €;
5506;VMV;Sanitz (b Rostock);6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
5507;NWL;Sanssouci;7;Nordrhein-Westfalen;2,48 €;6,41 €;
5510;LNVG;Sarstedt;5;Niedersachsen;4,79 €;12,40 €;
5511;ZVRP Nord;Sassenroth;7;Rheinland-Pfalz;2,00 €;4,62 €;
5513;VMV;Sassnitz;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
5516;TLBV;Sättelstädt;6;Thüringen;3,43 €;9,13 €;
5518;go.R;Satzvey;6;Nordrhein-Westfalen;3,77 €;8,76 €;
5519;BEG;Sauerlach;5;Bayern;2,72 €;7,01 €;
5521;BEG;Saulgrub;7;Bayern;2,13 €;5,65 €;
5522;ZÖPNV Süd;Saulheim;6;Rheinland-Pfalz;1,99 €;5,22 €;
5523;VBB Berlin;Savignyplatz;4;Berlin;2,00 €;5,33 €;
5529;ZPS;Schafbrücke;6;Saarland;1,54 €;4,04 €;
5532;BEG;Schaftlach;5;Bayern;2,72 €;7,01 €;
7200;ZÖPNV Süd;Schaidt (Pf);7;Rheinland-Pfalz;1,49 €;4,01 €;
5536;TLBV;Schalkau;7;Thüringen;2,70 €;7,22 €;
8054;TLBV;Schalkau-Mitte;7;Thüringen;2,70 €;7,22 €;
5537;NWL;Schalksmühle;7;Nordrhein-Westfalen;2,48 €;6,41 €;
5538;VM BW;Schallstadt;5;Baden-Württemberg;2,91 €;7,35 €;
5540;RVB;Schandelah;6;Niedersachsen;4,87 €;10,77 €;
5541;NAH.SH;Scharbeutz;5;Schleswig-Holstein;3,75 €;9,91 €;
5545;NWL;Scharmede;6;Nordrhein-Westfalen;3,85 €;9,87 €;
5547;VMV;Scharstorf;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
5552;LNVG;Scheeßel;5;Niedersachsen;4,79 €;12,40 €;
5554;ZPS;Scheidt (Saar);5;Saarland;1,58 €;4,00 €;
5556;VM BW;Schelklingen;6;Baden-Württemberg;2,35 €;6,18 €;
5557;VM BW;Schemmerberg;6;Baden-Württemberg;2,35 €;6,18 €;
5558;VM BW;Schenkenzell;6;Baden-Württemberg;2,35 €;6,18 €;
7436;VM BW;Scheppach;6;Baden-Württemberg;2,35 €;6,18 €;
5559;NWL;Scherfede;6;Nordrhein-Westfalen;3,85 €;9,87 €;
5561;ZVRP Nord;Scheuerfeld (Sieg);6;Rheinland-Pfalz;2,27 €;5,85 €;
5562;go.R;Scheven;6;Nordrhein-Westfalen;3,77 €;8,76 €;
5563;VBB Berlin;Schichauweg;5;Berlin;1,96 €;5,19 €;
5564;NWL;Schieder;6;Nordrhein-Westfalen;3,85 €;9,87 €;
5565;LNVG;Schierbrok;6;Niedersachsen;4,23 €;10,34 €;
5566;NASA;Schierstedt;7;Sachsen-Anhalt;2,77 €;7,39 €;
5567;ZÖPNV Süd;Schifferstadt;3;Rheinland-Pfalz;3,96 €;10,57 €;
5568;ZÖPNV Süd;Schifferstadt Süd;5;Rheinland-Pfalz;2,95 €;7,78 €;
5569;ZPS;Schiffweiler;6;Saarland;1,54 €;4,04 €;
5570;VM BW;Schiltach;6;Baden-Württemberg;2,35 €;6,18 €;
5571;VM BW;Schiltach Mitte;7;Baden-Württemberg;1,90 €;5,07 €;
5572;ZVON;Schirgiswalde-Kirschau;6;Sachsen;3,28 €;8,70 €;
5573;BEG;Schirnding;6;Bayern;2,89 €;7,59 €;
5574;ZVNL;Schkeuditz;5;Sachsen;3,24 €;8,61 €;
8095;ZVNL;Schkeuditz West;6;Sachsen;2,56 €;6,83 €;
5576;NASA;Schkopau;5;Sachsen-Anhalt;3,29 €;8,62 €;
5579;RVB;Schladen (Harz);6;Niedersachsen;4,87 €;10,77 €;
5580;go.R;Schladern (Sieg);5;Nordrhein-Westfalen;2,69 €;7,09 €;
5583;ZVON;Schleife;6;Sachsen;3,28 €;8,70 €;
5588;NAH.SH;Schleswig;5;Schleswig-Holstein;3,75 €;9,91 €;
5594;VM BW;Schliengen;6;Baden-Württemberg;2,35 €;6,18 €;
5595;NVV;Schlierbach (Kr Schwalm-Eder);6;Hessen;2,73 €;7,26 €;
5597;BEG;Schliersee;6;Bayern;2,89 €;7,59 €;
5598;NWL;Schloß Holte;6;Nordrhein-Westfalen;3,85 €;9,87 €;
5600;VM BW;Schluchsee;6;Baden-Württemberg;2,35 €;6,18 €;
5601;RMV;Schlüchtern;4;Hessen;2,78 €;6,42 €;
5603;TLBV;Schmalkalden;6;Thüringen;3,43 €;9,13 €;
5605;TLBV;Schmalkalden Fachhochschule;6;Thüringen;3,43 €;9,13 €;
5606;RMV;Schmalnau;7;Hessen;1,88 €;4,96 €;
5607;go.R;Schmidtheim;6;Nordrhein-Westfalen;3,77 €;8,76 €;
5608;VM BW;Schmiechen;6;Baden-Württemberg;2,35 €;6,18 €;
5609;BEG;Schmiechen (Schwab);7;Bayern;2,13 €;5,65 €;
5614;VVO;Schmilka-Hirschmühle;6;Sachsen;2,85 €;7,61 €;
5617;ZVON;Schmölln (Oberlausitz);6;Sachsen;3,28 €;8,70 €;
5618;TLBV;Schmölln (Thür);6;Thüringen;3,43 €;9,13 €;
5622;BEG;Schnabelwaid;6;Bayern;2,89 €;7,59 €;
5623;BEG;Schnaittach Markt;6;Bayern;2,89 €;7,59 €;
5626;VBB;Schneeberg (Mark);7;Brandenburg;3,21 €;8,56 €;
8010;LNVG;Schnega;6;Niedersachsen;4,23 €;10,34 €;
5628;BEG;Schnelldorf;6;Bayern;2,89 €;7,59 €;
5629;LNVG;Schneverdingen;6;Niedersachsen;4,23 €;10,34 €;
5630;BEG;Schney;6;Bayern;2,89 €;7,59 €;
5631;ZVRP Nord;Schoden-Ockfen;6;Rheinland-Pfalz;2,27 €;5,85 €;
5635;VVO;Schöna;5;Sachsen;2,08 €;5,53 €;
